,datetime,description,icon
0,2023-08-07,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
1,2023-08-08,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
2,2023-08-09,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-08-10,Partly cloudy throughout the day with late afternoon rain.,rain
4,2023-08-11,Becoming cloudy in the afternoon with rain clearing later.,rain
5,2023-08-12,Becoming cloudy in the afternoon.,partly-cloudy-day
6,2023-08-13,Partly cloudy throughout the day with rain.,rain
7,2023-08-14,Partly cloudy throughout the day.,partly-cloudy-day
