,datetime,description,icon
0,2022-09-26,Partly cloudy throughout the day with rain.,rain
1,2022-09-27,Partly cloudy throughout the day.,partly-cloudy-day
2,2022-09-28,Becoming cloudy in the afternoon.,partly-cloudy-day
3,2022-09-29,Becoming cloudy in the afternoon.,partly-cloudy-day
4,2022-09-30,Partly cloudy throughout the day.,partly-cloudy-day
5,2022-10-01,Cloudy skies throughout the day with rain in the morning and afternoon.,rain
6,2022-10-02,Cloudy skies throughout the day.,cloudy
7,2022-10-03,Cloudy skies throughout the day.,cloudy
