,datetime,tempmin,temp,tempmax
0,2022-09-05,17.9,20.3,22.9
1,2022-09-06,16.8,17.7,18.4
2,2022-09-07,15.6,18.5,21.7
3,2022-09-08,14.9,18.1,21.8
4,2022-09-09,14.8,19.1,23.5
5,2022-09-10,19.1,22.4,26.3
6,2022-09-11,20.6,23.1,26.7
7,2022-09-12,18.9,21.3,23.9
