,datetime,description,icon
0,2022-10-10,Partly cloudy throughout the day with late afternoon rain.,rain
1,2022-10-11,Partly cloudy throughout the day.,partly-cloudy-day
2,2022-10-12,Becoming cloudy in the afternoon.,partly-cloudy-day
3,2022-10-13,Partly cloudy throughout the day with rain.,rain
4,2022-10-14,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
5,2022-10-15,Partly cloudy throughout the day.,partly-cloudy-day
6,2022-10-16,Becoming cloudy in the afternoon.,partly-cloudy-day
7,2022-10-17,Cloudy skies throughout the day with rain.,rain
