,datetime,description,icon
0,2023-08-14,Partly cloudy throughout the day.,partly-cloudy-day
1,2023-08-15,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
2,2023-08-16,Cloudy skies throughout the day.,cloudy
3,2023-08-17,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-08-18,Partly cloudy throughout the day with storms possible.,rain
5,2023-08-19,Partly cloudy throughout the day.,partly-cloudy-day
6,2023-08-20,Clear conditions throughout the day.,clear-day
7,2023-08-21,Partly cloudy throughout the day.,partly-cloudy-day
