,datetime,description,icon
0,2022-09-19,Cloudy skies throughout the day with rain.,rain
1,2022-09-20,Cloudy skies throughout the day with rain.,rain
2,2022-09-21,Partly cloudy throughout the day with early morning rain.,rain
3,2022-09-22,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
4,2022-09-23,Partly cloudy throughout the day.,partly-cloudy-day
5,2022-09-24,Partly cloudy throughout the day.,partly-cloudy-day
6,2022-09-25,Partly cloudy throughout the day.,partly-cloudy-day
7,2022-09-26,Partly cloudy throughout the day with rain.,rain
