,datetime,description,icon
0,2022-10-03,Cloudy skies throughout the day.,cloudy
1,2022-10-04,Cloudy skies throughout the day with rain.,rain
2,2022-10-05,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
3,2022-10-06,Clearing in the afternoon with rain clearing later.,rain
4,2022-10-07,Clearing in the afternoon.,partly-cloudy-day
5,2022-10-08,Clearing in the afternoon with morning rain.,rain
6,2022-10-09,Clear conditions throughout the day.,clear-day
7,2022-10-10,Partly cloudy throughout the day with late afternoon rain.,rain
