,datetime,tempmin,temp,tempmax
0,2022-09-12,18.9,21.3,23.9
1,2022-09-13,19.3,21.0,22.9
2,2022-09-14,17.2,22.0,26.7
3,2022-09-15,15.4,18.6,21.7
4,2022-09-16,12.6,17.2,22.2
5,2022-09-17,11.5,15.7,18.5
6,2022-09-18,16.0,22.2,28.8
7,2022-09-19,15.0,17.6,22.2
