,datetime,description,icon
0,2022-08-29,Clearing in the afternoon.,partly-cloudy-day
1,2022-08-30,Partly cloudy throughout the day.,partly-cloudy-day
2,2022-08-31,Partly cloudy throughout the day with rain clearing later.,rain
3,2022-09-01,Clearing in the afternoon.,partly-cloudy-day
4,2022-09-02,Clear conditions throughout the day.,clear-day
5,2022-09-03,Partly cloudy throughout the day.,partly-cloudy-day
6,2022-09-04,Partly cloudy throughout the day.,partly-cloudy-day
7,2022-09-05,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
