,datetime,tempmin,temp,tempmax
0,2022-08-29,18.8,24.3,31.2
1,2022-08-30,22.2,26.4,32.8
2,2022-08-31,22.2,25.0,29.3
3,2022-09-01,18.6,22.7,26.7
4,2022-09-02,14.1,17.6,20.1
5,2022-09-03,14.8,19.3,23.9
6,2022-09-04,17.8,22.6,27.9
7,2022-09-05,17.9,20.3,22.9
