,datetime,description,icon
0,2022-11-28,Partly cloudy throughout the day with early morning rain.,rain
1,2022-11-29,Partly cloudy throughout the day.,partly-cloudy-day
2,2022-11-30,Cloudy skies throughout the day with rain.,rain
3,2022-12-01,Becoming cloudy in the afternoon.,partly-cloudy-day
4,2022-12-02,Partly cloudy throughout the day.,partly-cloudy-day
5,2022-12-03,Cloudy skies throughout the day with rain.,rain
6,2022-12-04,Becoming cloudy in the afternoon.,partly-cloudy-day
7,2022-12-05,Becoming cloudy in the afternoon.,partly-cloudy-day
