,datetime,tempmin,temp,tempmax
0,2023-07-31,16.6,22.8,27.8
1,2023-08-01,18.2,21.6,25.6
2,2023-08-02,16.0,19.3,21.8
3,2023-08-03,16.6,21.4,26.7
4,2023-08-04,18.8,22.1,26.7
5,2023-08-05,19.4,21.9,24.5
6,2023-08-06,18.1,23.6,28.8
7,2023-08-07,18.7,20.8,22.8
